Hasil;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Frame;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
51;"12,20655562";"13,03840481";"10,77032961";10;"10,19803903";"3,605551275";"2,828427125";3;"4,123105626";4;4;"3,16227766";"6,403124237";"4,123105626";"5,385164807";"6,08276253";"7,280109889";"5,385164807";"4,472135955";5;"8,062257748"
52;"239,8207664";"189,6944912";"166,5322792";"159,3267084";"155,5409914";"203,061567";"167,9434429";"131,552271";"98,27003612";"227,1497304";"179,2344833";"155,2320843";"142,2849254";"247,0020243";"200,9601951";"186,5529415";"181,8598361";"262,3775905";"224,3969697";"209,575762";"202,5561651"
53;"244,2949038";"192,3798326";"164,2102311";"151,9243233";"147,9628332";"200,5716829";"153,5740864";"114,1621654";"85,07055895";"224,1160414";"166,2077014";"143,3387596";"138,1774222";"243,6000821";"192,418814";"181,1767093";"182,660888";"258,7991499";"218,3254452";"205,0097559";"202,3709465"
53;"242,3901813";"186,0026882";"157,7846634";"148,3138564";"147,3634962";"201,8365675";"153,9415473";"112,2719912";"83,16850365";"226,3382425";"165,1090549";"134,4804819";"116,7604385";"248,6000805";"195,8621965";"180,2276338";"177,1919863";"268,1268357";"229,1396954";"214,2265156";"209,6187015"
54;"233,173755";"179,6106901";"152,4631103";"143,2934053";"141,1736519";"195,3586445";"165,1090549";"125,8650071";"92,64987858";"221,1108319";"181,5736765";"150,8409759";"125,1319304";"245,6684758";"210,4305111";"190,5465822";"177,3414785";"265,7536453";"237,844487";"219,7384809";"206,8912758"
54;"230,7227774";"183,2511937";"157,1559735";"147,8005413";"145,1240848";"197,0609043";"166,436174";"127,2242115";"93,00537619";"221,3594362";"175,3539278";"136,9707998";"101,5923225";"242,4211212";"204,0833163";"185,148589";"168,4666139";"260,209531";"230,8679276";"215,288179";"203,9240055"
55;"239,5767101";"190,2235527";"160,5241415";"147,122398";"143,1712262";"204,0833163";"160,1530518";"119,7747887";"89,19641248";"229,0938672";"160,7513608";"123,1665539";"98,27003612";"248,4028985";"190,2866259";"176,3008792";"172,0377865";"264,5467823";"221,2261287";"210,5089072";"210,838801"
55;2;"5,099019514";"4,123105626";"5,099019514";"7,280109889";3;"9,433981132";"17,88854382";"24,41311123";"3,16227766";6;"10,63014581";"13,03840481";5;"4,123105626";"5,099019514";7;"5,830951895";"4,242640687";"4,472135955";"7,071067812"
56;"12,20655562";"8,062257748";"8,246211251";"7,071067812";"5,830951895";"20,59126028";"18,02775638";"16,76305461";"14,86606875";"19,31320792";"15,8113883";"15,13274595";"17,49285568";"18,43908891";"11,04536102";"2,236067977";"13,92838828";"18,11077028";"10,81665383";"9,055385138";"15,8113883"
57;"238,0273094";"205,2047758";"196,468827";"199,2636445";"201,0621794";"212,8778993";"194,5353438";"172,8178232";"157,6229679";"219,4766502";"172,307864";"131,0610545";"96,74709298";"228,3965849";"176,7823521";"137,53545";"112,3298714";"239,827021";"195,8187938";"167,4514855";"148,5563866"
58;"241,1389641";"213,1783291";"196,458647";"194,537914";"196,7587355";"173,4041522";"166,6283289";"167,8630394";"173,1415606";"177,6288265";"158,7765726";"140,5453663";"124,5552086";"186,868938";"167,4305826";"145,0413734";"129,7266357";"200,5617112";"176,0823671";"159,81239";"146,5776245"
59;"265,1584432";"220,6014506";"186,681547";"166,2347737";"157,9430277";"190,790461";"167,2602762";"155,6470366";"152,2366579";"214,1144554";"199,0226118";"193,3520106";"193,1320792";"236,4571843";"225,9424706";"214,2825238";"211,0094785";"256,4527247";"248,07257";"240,1686907";"235,0531855"
60;"264,8018127";"209,5065631";"165,1575006";"137,3062271";"124,1974235";"165,6804153";"133,454112";"113,1459235";"98,84331035";"202,9408781";"183,8477631";"171,4934401";"164,7573974";"241,8305192";"228,8274459";"212,1438191";"204,5531716";"274,361076";"270,0407377";"254,8038461";"242,843571"
60;"258,8609665";"229,0261994";"199,9049774";"187,4486596";"186,4001073";"164,6572197";"132,5481045";"113,8639539";"100,895986";"189,5890292";"173,4041522";"162,0123452";"149,966663";"221,8220007";"219,0091322";"212,8497122";"204,1298606";"253,0553299";"258,5498018";"253,3081128";"245,4159734"
61;"42,01190308";"47,75981575";"44,68780594";"36,67424164";"34,0147027";"51,85556865";"55,47071299";"57,98275606";"62,2655603";"39,81205847";53;"60,41522987";"68,9492567";"28,0713377";"41,67733197";"46,66904756";"48,27007354";"19,20937271";"43,41658669";"52,55473337";"58,52349955"
64;5;2;"4,472135955";"8,062257748";"15,26433752";"3,16227766";"6,08276253";"14,14213562";"26,30589288";1;5;"16,76305461";"34,78505426";0;5;"16,97056275";"31,2409987";"2,236067977";"5,656854249";"13,60147051";"26,62705391"
65;"279,5084972";"325,884949";"359,0501358";"376,3402716";"385,3310265";"372,5922705";"383,2623123";"372,8230143";"362,0303855";"352,3662867";"358,5861124";"349,7384737";"339,5585369";"325,3459697";"325,4980799";"314,0971187";"304,2449671";"296,1384811";"295,6704246";"285,3086048";"277,4617091"
66;"68,02940541";"57,42821606";"56,08029957";"58,30951895";"58,54912467";"55,03635162";"65,8559033";"60,44005295";"60,20797289";"36,61966685";"46,32493929";"46,61544808";"48,08326112";"10,63014581";"19,41648784";"22,84731932";"24,04163056";"19,10497317";"15,03329638";"11,04536102";"4,123105626"
